order_id,product_id,product_name,category,region,quantity,price,order_date
ORD1001,P001,Wireless Mouse,Electronics,North,2,25.99,2024-04-15
ORD1002,P002,Mechanical Keyboard,Electronics,West,1,75.49,2024-04-15
ORD1003,P003,Cotton T-Shirt,Apparel,East,3,15.99,2024-04-16
ORD1004,P004,Running Shoes,Sports,South,1,89.99,2024-04-16
ORD1005,P001,Wireless Mouse,Electronics,East,4,25.99,2024-04-17
ORD1006,P005,LED Monitor,Electronics,North,1,159.99,2024-04-17
ORD1007,P003,Cotton T-Shirt,Apparel,West,2,15.99,2024-04-18
ORD1008,P006,Blender,Home Appliances,South,1,49.99,2024-04-18
ORD1009,P007,Desk Lamp,Furniture,North,3,19.99,2024-04-19
ORD1010,P004,Running Shoes,Sports,East,1,89.99,2024-04-19
